y=1160, x=336..349
y=356, x=457..464
y=893, x=500..505
x=372, y=64..69
y=54, x=423..435
x=384, y=150..176
x=464, y=993..1011
y=633, x=337..344
y=1336, x=389..393
x=410, y=1383..1395
x=372, y=1341..1347
x=463, y=955..958
y=499, x=405..414
x=483, y=999..1015
x=346, y=758..760
x=500, y=1285..1289
y=718, x=453..456
y=167, x=390..409
x=373, y=104..113
y=199, x=374..380
x=418, y=1237..1240
x=453, y=735..744
x=469, y=527..528
x=478, y=159..168
x=426, y=804..820
x=461, y=1176..1179
y=883, x=451..470
y=451, x=538..545
x=370, y=713..719
x=392, y=899..912
x=392, y=252..277
x=522, y=1356..1376
x=354, y=1132..1156
x=340, y=519..537
x=367, y=813..815
y=356, x=354..362
y=89, x=387..408
y=1353, x=437..443
x=403, y=1021..1023
y=1041, x=367..370
x=367, y=1249..1266
x=522, y=1059..1079
x=464, y=471..476
x=423, y=625..636
x=400, y=105..113
y=362, x=471..497
x=492, y=1550..1552
x=531, y=1474..1484
x=383, y=204..230
x=531, y=503..508
x=392, y=922..935
x=435, y=658..661
y=1459, x=369..393
y=386, x=469..485
x=391, y=204..230
x=437, y=416..427
x=364, y=1068..1072
y=789, x=427..431
y=1067, x=412..414
x=524, y=1260..1273
x=414, y=476..499
x=521, y=227..232
y=1617, x=339..341
y=393, x=432..439
y=540, x=540..548
x=342, y=1240..1246
x=473, y=731..733
x=385, y=919..930
x=504, y=205..208
x=445, y=340..343
y=671, x=356..368
x=520, y=52..62
y=31, x=432..447
x=407, y=990..1002
y=816, x=402..410
x=471, y=708..717
x=544, y=424..426
x=513, y=359..361
x=404, y=1380..1398
x=339, y=408..426
y=755, x=519..532
x=398, y=171..193
x=430, y=817..827
x=395, y=37..59
y=589, x=453..458
x=452, y=1294..1307
y=796, x=366..384
x=373, y=299..309
y=660, x=341..344
x=511, y=205..208
y=1223, x=538..540
x=429, y=1214..1231
x=479, y=25..42
x=482, y=799..818
x=455, y=269..278
x=385, y=298..320
x=532, y=1260..1273
x=361, y=1510..1530
x=470, y=752..764
x=429, y=1270..1280
x=441, y=441..453
x=356, y=614..633
x=353, y=1520..1527
y=426, x=339..361
x=373, y=1350..1378
y=1490, x=375..377
x=470, y=437..447
x=443, y=420..430
x=396, y=84..86
y=208, x=504..511
x=545, y=1514..1532
x=429, y=1449..1460
x=454, y=1491..1495
y=275, x=496..520
x=500, y=887..893
x=426, y=566..578
y=752, x=417..423
x=415, y=1237..1240
x=427, y=770..789
x=518, y=29..37
y=165, x=484..486
x=348, y=597..608
x=463, y=1542..1545
y=839, x=420..431
x=426, y=857..867
y=660, x=478..480
y=211, x=497..524
x=372, y=214..241
x=552, y=419..430
x=522, y=52..62
y=1333, x=406..411
x=434, y=1324..1327
x=542, y=886..903
x=477, y=307..319
x=340, y=1438..1454
x=361, y=1037..1046
y=717, x=471..492
y=829, x=332..352
y=1439, x=380..406
x=384, y=1107..1113
x=445, y=1363..1375
x=431, y=769..789
x=490, y=1093..1112
x=527, y=349..365
x=463, y=713..723
x=340, y=1188..1195
x=373, y=1596..1601
x=390, y=493..515
x=539, y=1426..1450
x=420, y=658..661
y=781, x=448..452
y=122, x=346..361
x=399, y=626..636
x=511, y=1234..1250
x=434, y=1368..1371
y=162, x=535..544
x=380, y=186..199
x=461, y=1343..1356
x=374, y=187..199
y=599, x=414..438
x=456, y=794..807
x=469, y=1325..1337
x=484, y=93..109
x=418, y=7..24
x=485, y=241..254
